ID,NBHD,PROP_CLASS,LIVING_SQFT,FBSMT_SQFT,BSMT_AREA,LAND_SQFT,GRD_AREA,BLDG_AGE,RM_AGE,BED_RMS,FULL_B,HLF_B,STORY,STYLE_CN,UNITS,SALE_PRICE
454754,MONTCLAIR,CONDOMINIUMS,928,0,0,0,0,60,4.0,2.0,2.0,0,1.0,END UNIT,1.0,285000
190773,HIGHLAND,SINGLE FAMILY RESIDENCE,2338,900,948,3125,0,6,,3.0,4.0,1,3.0,END UNIT,1.0,1230000
159143,ATHMAR PARK,SINGLE FAMILY RESIDENCE,999,757,807,8900,0,67,6.0,3.0,2.0,0,1.0,1 STORY,1.0,420000
110649,MONTCLAIR,SINGLE FAMILY RESIDENCE,876,0,0,6100,0,77,15.0,2.0,1.0,0,1.0,1 STORY,1.0,355000
694203,GATEWAY / GREEN VALLEY RANCH,SINGLE FAMILY RESIDENCE,1729,0,0,2160,0,1,,3.0,2.0,1,2.0,MIDDLE UNIT,1.0,339500
592444,VILLA PARK,SINGLE FAMILY RESIDENCE,1483,0,0,6350,0,66,16.0,4.0,1.0,0,1.0,1 STORY,1.0,350000
676682,WEST HIGHLAND,SINGLE FAMILY RESIDENCE,1766,300,349,6000,0,128,0.0,3.0,3.0,0,2.0,2 STORY,1.0,900000
739216,WASHINGTON VIRGINIA VALE,SINGLE FAMILY RESIDENCE,1216,0,0,7280,598,42,,3.0,2.0,1,1.0,TRI-LEVEL,1.0,410000
426478,FIVE POINTS,SINGLE FAMILY RESIDENCE,1375,0,0,2790,0,115,38.0,2.0,1.0,1,1.5,1.5 STORY,1.0,560000
125021,WASHINGTON VIRGINIA VALE,CONDOMINIUMS,944,0,0,0,0,46,5.0,2.0,1.0,1,2.0,MIDDLE UNIT,1.0,229000
597370,BERKELEY,SINGLE FAMILY RESIDENCE,625,0,0,1383,0,0,,1.0,1.0,0,1.0,END UNIT,1.0,389000
144763,SPEER,CONDOMINIUMS,1286,0,0,0,0,55,0.0,1.0,2.0,1,2.0,MIDDLE UNIT,1.0,360000
680939,CAPITOL HILL,CONDOMINIUMS,341,0,0,0,0,53,33.0,0.0,1.0,0,1.0,MIDDLE UNIT,1.0,168000
111872,WEST COLFAX,SINGLE FAMILY RESIDENCE,1590,0,0,1450,0,1,,3.0,3.0,1,3.0,END UNIT,1.0,547141
219680,EAST COLFAX,SINGLE FAMILY RESIDENCE,750,0,0,7150,0,71,6.0,2.0,1.0,0,1.0,1 STORY,1.0,327900
934766,MONTCLAIR,CONDOMINIUMS,597,0,0,0,0,47,0.0,1.0,1.0,0,1.0,END UNIT,1.0,118000
435117,MARSTON,CONDOMINIUMS,815,0,0,0,0,34,0.0,1.0,1.0,0,1.0,END UNIT,1.0,127500
574496,GATEWAY / GREEN VALLEY RANCH,SINGLE FAMILY RESIDENCE,3220,0,832,7452,0,14,0.0,4.0,2.0,1,2.0,2 STORY,1.0,470000
285138,MARSTON,SINGLE FAMILY RESIDENCE,1458,948,1458,4923,0,24,,3.0,2.0,0,1.0,1 STORY,1.0,426000
901153,UNION STATION,CONDOMINIUMS,483,0,0,0,0,2,,0.0,1.0,0,1.0,MIDDLE UNIT,1.0,330000
363471,MONTBELLO,SINGLE FAMILY RESIDENCE,1397,0,583,4800,0,34,,3.0,1.0,1,2.0,2 STORY,1.0,340000
196588,FORT LOGAN,SINGLE FAMILY RESIDENCE,1175,972,1175,10900,0,62,19.0,3.0,2.0,0,1.0,1 STORY,1.0,408000
256634,GATEWAY / GREEN VALLEY RANCH,SINGLE FAMILY RESIDENCE,2953,609,651,5000,0,5,,5.0,3.0,1,2.5,2.5 STORY,1.0,455000
396929,WASHINGTON PARK,SINGLE FAMILY RESIDENCE,2862,1122,1431,4720,0,1,1.0,4.0,4.0,1,2.0,2 STORY,1.0,1790000
912576,WEST COLFAX,SINGLE FAMILY RESIDENCE,1284,0,0,938,0,2,,2.0,2.0,1,3.0,END UNIT,1.0,485000
787767,COUNTRY CLUB,SINGLE FAMILY RESIDENCE,1215,747,830,4690,0,109,10.0,2.0,2.0,0,1.0,1 STORY,1.0,933000
548548,COLLEGE VIEW / SOUTH PLATTE,SINGLE FAMILY RESIDENCE,945,0,0,18200,0,80,,3.0,1.0,0,1.0,1 STORY,1.0,210000
988873,NORTH CAPITOL HILL,SINGLE FAMILY RESIDENCE,1214,401,422,606,0,52,0.0,2.0,2.0,0,3.0,MIDDLE UNIT,1.0,460000
195242,UNIVERSITY HILLS,SINGLE FAMILY RESIDENCE,3173,1420,1576,8040,0,13,3.0,4.0,4.0,1,2.0,2 STORY,1.0,1050000
173962,GATEWAY / GREEN VALLEY RANCH,SINGLE FAMILY RESIDENCE,1444,0,0,3280,0,12,,3.0,2.0,0,2.0,2 STORY,1.0,305000
13699,FORT LOGAN,SINGLE FAMILY RESIDENCE,1391,660,660,10400,451,43,1.0,4.0,3.0,1,1.0,TRI-LEVEL W/B,1.0,555000
848502,CHERRY CREEK,CONDOMINIUMS,1847,0,0,0,0,2,,3.0,2.0,1,1.0,END UNIT,1.0,1824198
38511,UNION STATION,CONDOMINIUMS,956,0,0,0,0,2,,1.0,1.0,0,1.0,MIDDLE UNIT,1.0,695000
890875,LINCOLN PARK,SINGLE FAMILY RESIDENCE,1165,0,362,5620,0,129,14.0,3.0,2.0,0,1.0,1 STORY,1.0,420500
801190,WINDSOR,CONDOMINIUMS,1470,0,0,0,0,47,0.0,2.0,2.0,0,1.0,MIDDLE UNIT,1.0,269000
52619,EAST COLFAX,SINGLE FAMILY RESIDENCE,892,769,769,6100,0,94,0.0,3.0,2.0,0,1.0,1 STORY,1.0,414900
244660,CENTRAL PARK,SINGLE FAMILY RESIDENCE,2436,775,1057,3150,0,9,,3.0,3.0,1,2.0,2 STORY,1.0,751000
795213,CENTRAL PARK,SINGLE FAMILY RESIDENCE,1492,1412,1486,3610,0,1,,2.0,3.0,0,1.0,END UNIT,1.0,541000
5257,RUBY HILL,SINGLE FAMILY RESIDENCE,1092,1037,1092,6300,0,61,,3.0,2.0,0,1.0,1 STORY,1.0,375000
156761,CENTRAL PARK,CONDOMINIUMS,1100,0,0,0,0,16,16.0,3.0,1.0,1,1.0,END UNIT,1.0,200000
499584,COLLEGE VIEW / SOUTH PLATTE,SINGLE FAMILY RESIDENCE,861,0,0,8550,0,73,,3.0,1.0,0,1.0,1 STORY,1.0,159000
589644,FIVE POINTS,SINGLE FAMILY RESIDENCE,1605,0,0,3125,0,130,3.0,3.0,1.0,1,2.0,2 STORY,1.0,700000
747168,RUBY HILL,SINGLE FAMILY RESIDENCE,1072,0,0,7370,0,64,,3.0,1.0,0,1.0,1 STORY,1.0,295000
64920,MONTCLAIR,SINGLE FAMILY RESIDENCE,3698,0,1695,8125,0,128,20.0,4.0,2.0,1,2.0,2 STORY,1.0,1075000
705970,SLOAN LAKE,SINGLE FAMILY RESIDENCE,1430,0,0,900,0,3,,3.0,3.0,1,3.0,MIDDLE UNIT,1.0,561250
913156,CHEESMAN PARK,CONDOMINIUMS,653,0,0,0,0,54,0.0,1.0,1.0,0,1.0,MIDDLE UNIT,1.0,200000
204707,UNION STATION,CONDOMINIUMS,984,0,0,0,0,2,,3.0,2.0,0,1.0,MIDDLE UNIT,1.0,660000
931024,MAR LEE,SINGLE FAMILY RESIDENCE,1168,1110,1168,6740,0,63,,3.0,2.0,0,1.0,1 STORY,1.0,365000
158839,SKYLAND,SINGLE FAMILY RESIDENCE,1497,0,0,738,0,3,,3.0,3.0,1,3.0,MIDDLE UNIT,1.0,505000
173761,SOUTH PARK HILL,SINGLE FAMILY RESIDENCE,1471,1314,1383,7580,0,89,,3.0,2.0,0,1.0,1 STORY,1.0,615000
416303,HAMPDEN SOUTH,CONDOMINIUMS,1442,590,702,0,0,47,2.0,3.0,2.0,1,2.0,MIDDLE UNIT,1.0,285000
645111,WEST HIGHLAND,SINGLE FAMILY RESIDENCE,2025,0,0,2900,0,134,5.0,3.0,3.0,0,2.0,2 STORY,1.0,815000
74278,CAPITOL HILL,CONDOMINIUMS,1087,0,0,0,0,49,14.0,2.0,2.0,0,1.0,END UNIT,1.0,405000
59267,HAMPDEN,CONDOMINIUMS,1035,0,0,0,0,49,,2.0,2.0,0,1.0,MIDDLE UNIT,1.0,168500
389675,GOLDSMITH,SINGLE FAMILY RESIDENCE,1803,1412,1569,9050,0,56,0.0,3.0,3.0,0,1.0,1 STORY,1.0,241750
272351,CHAFFEE PARK,SINGLE FAMILY RESIDENCE,1065,335,361,6250,0,73,0.0,2.0,2.0,0,1.0,1 STORY,1.0,400000
94752,WEST COLFAX,SINGLE FAMILY RESIDENCE,1498,0,0,2089,0,1,,2.0,2.0,1,3.0,END UNIT,1.0,552500
15320,MAR LEE,SINGLE FAMILY RESIDENCE,1113,0,0,7510,0,66,0.0,3.0,2.0,0,1.0,1 STORY,1.0,247500
